lon,lat,cap_mid,annual_cf,t2m_mean,t2m_max,t2m_min
-4.5,22,32.456,0.254,29.17614868,47.37855864,5.34938224
-4.5,22.25,32.359,0.253,29.13747076,47.57397691,4.972794957
-4.5,22.5,31.839,0.253,29.11442951,47.70018454,4.685774379
-4.5,22.75,31.263,0.253,28.9899407,47.53733598,4.862872182
-4.5,23,31.507,0.254,28.73246701,47.17703356,4.846587327
-4.5,23.25,31.251,0.254,28.40564642,47.0732176,4.258296922
-4.5,23.5,31.042,0.255,28.14618232,47.26049344,3.773822472
-4.5,23.75,30.573,0.255,27.90122168,47.35413136,3.80842779
-4.5,24,29.667,0.256,27.54469732,47.19942523,3.501051142
-4.5,24.25,23.204,0.256,27.57450793,47.30120558,3.295454842
-4.5,24.5,22.397,0.254,28.00081185,47.75718153,3.533620853
-4.5,24.75,28.125,0.251,28.58693479,48.40450454,3.387057154
-4.5,25,29.891,0.249,28.80022417,48.58567356,3.543798888
-4.5,25.25,28.92,0.25,28.398478,48.0421665,4.246083281
-4.5,25.5,28.954,0.251,27.80394915,47.38059425,3.826748252
-4.5,25.75,29.299,0.251,27.69942662,47.13835702,2.955508483
-4.5,26,28.748,0.25,27.64195641,47.27067147,2.554493917
-4.5,26.25,28.715,0.25,27.54040085,47.31749043,2.627775767
-4.5,26.5,27.568,0.249,27.32892368,46.93072512,3.124463859
-4.5,26.75,27.379,0.249,27.11388048,46.47271356,3.10410779
-4.5,27,26.361,0.249,27.03296418,46.59281437,2.601312877
-4.5,27.25,27.158,0.25,26.73448937,47.03657668,1.630328368
